Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data,Launch Year
Amsat-Oscar 7,USA,USA,AMSAT-NA,Civil,Communications,Unknown,LEO,Polar,0.0,"1,440","1,459",0.00121,101.4,114.9,29,,,11/15/1974,0.0,Amsat-NA,USA,Vandenberg AFB,Delta 2310,1974-089B,7530,American amateur radio satellite.,www.satellitedebris.net 12/12,1974
ANASIS-II,NR (7/20),South Korea,Agency for Defense Development,Military,Communications,Unknown,GEO,Unknown,115.9,"35,781","35,792",0.00013000000000000002,0.01,1436.1,,,,7/20/2020,15.0,Airbus Defense and Space,France/UK/Germany/Spain,Cape Canaveral,Falcon 9,2020-048A,45920,First South Korean military satellite.,ZARYA,2020
ANDESITE Mule,NR (7/20),USA,ANDESITE - Boston University,Civil,Space Science/Technology Demonstration,Unknown,LEO,Sun-Synchronous,0.0,582,600,0.0012900000000000001,97.7,96.5,9,,,6/13/2020,0.0,Boston University,USA,Rocket Lab Launch Complex 1,Electron,2020-037D,45726,Mule carries 8 sensor plates that will be released and gather data for a 3-dimensional view of plasma currents. Each about size of piece of bread - each has magnetometer and radio transmitter.,JMSatcat/7_20,2020
ANGELS,NR (3/20),ESA,Centre National d'Etudes Spatiales (CNES),Government,Communications,Unknown,LEO,Sun-Synchronous,0.0,509,524,0.00109,97.4,94.9,18,,,12/18/2019,0.0,CNES ,ESA,Guiana Space Center,Soyuz,2019-092D,44876,"Miniaturized Argos Neo instrument ten times smaller than the equivalent previous-generation device. The instrument collects and locates low-power signals and messages sent by the 20,000 Argos transmitters operating around the globe. ",JMSatcat/3_20,2019
Anik F1,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,Unknown,GEO,Unknown,-107.27,"35,778","35,793",0.000178,0.02,1436.08,"4,710","2,950","15,500 (EOL)",11/21/2000,15.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-076A,26624,,JM/12_08,2000
Anik F1R,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,Unknown,GEO,Unknown,-107.3,"35,777","35,795",0.000213,0.02,1436.1,"4,500",,"10,000",9/9/2005,15.0,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2005-036A,28868,,JM/12_08,2005
Anik F2,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,Unknown,GEO,Unknown,-111.07,"35,781","35,790",0.00010700000000000001,0.01,1436.08,"5,910","3,805","16,000",7/18/2004,15.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2004-027A,28378,"24 30W C-band, 40 127W Ku-band, 50 90W transponders for broadband and telemedicine to northern US states and Canada",JM/12_08,2004
Anik F3,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,Unknown,GEO,Unknown,-118.69,"35,778","35,794",0.00018999999999999998,0.01,1436.1,"4,715",,"17,500",4/9/2007,15.0,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2007-009A,31102,"32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America.",JM/12_08,2007
Anik G1,NR,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,Unknown,GEO,Unknown,-107.3,"35,773","35,799",0.000308,0.01,1436.08,"4,905",,"17,500",4/15/2013,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2013-014A,39127,16 extended Ku-band transponders fully contracted to Shaw Direct for 15 years.,SC - ASCR,2013
Aoba-VELOX 4,NR,Japan,Kyushu Institute of Technology (KIT),Civil,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,481,513,0.00233,97.3,94.6,3,,,1/18/2019,0.0,Kyushu Institute of Technology,Japan,Uchinoura Space Center,Epsilon,2019-003J,43940,"Will demonstrate an attitude control and orbital control system, and a low-light camera, for lunar observations.",JMSatcat/3_19,2019
AprizeSat 1,USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,Unknown,LEO,Sun-Synchronous,0.0,696,764,0.00479,98.0,99.4,12,12,,6/29/2004,0.0,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr,2004-025G,28372,Messaging services.,www.satellitedebris.net 12/12,2004
AprizeSat 10,NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,613,733,0.00852,97.9,98,12,12,,6/19/2014,0.0,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033K,40019,Will provide tracking and data monitoring services for companies with remote or mobile assets.,ZARYA,2014
AprizeSat 2,USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,Unknown,LEO,Sun-Synchronous,0.0,694,850,0.0109,98.2,100.3,12,12,,6/29/2004,0.0,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr,2004-025A,28366,Messaging services.,www.satellitedebris.net 12/12,2004
AprizeSat 3,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,559,662,0.007379999999999999,98.18,97,12,12,,7/29/2009,0.0,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041F,35686,Will provide tracking and data monitoring services for companies with remote or mobile assets.,www.satellitedebris.net 12/12,2009
AprizeSat 4,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,604,674,0.00499,98.1,97.5,12,12,,7/29/2009,0.0,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041D,35684,Will provide tracking and data monitoring services for companies with remote or mobile assets.,www.satellitedebris.net 12/12,2009
AprizeSat 5,USA,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,610,694,0.00598,98.2,97.8,12,12,,8/17/2011,0.0,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2011-044E,37792,Continuation of constellation.,www.satellitedebris.net 12/12,2011
AprizeSat 7,USA,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,594,653,0.004220000000000001,97.8,97.17,12,12,,11/21/2013,0.0,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066A,39416,Continuation of constellation.,ZARYA,2013
AprizeSat 8,NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,594,669,0.00536,97.8,97.99,12,12,,11/21/2013,0.0,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066K,39425,Continuation of constellation.,ZARYA,2013
AprizeSat 9,NR,Canada,exactEarth,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,613,715,0.00725,97.9,98,12,12,,6/19/2014,0.0,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033J,40018,Will provide tracking and data monitoring services for companies with remote or mobile assets.,ZARYA,2014
Apstar 6,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,Unknown,GEO,Unknown,134.04,"35,778","35,794",0.00018999999999999998,0.01,1436.08,"4,680",,,4/12/2005,0.0,Alcatel Space Industries,France/Italy,Xichang Satellite Launch Center,Long March 3B,2005-012A,28638,Partial power failure in 2018. Apstar 6C has taken over its position.,JM/12_08,2005
Apstar 6C,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,Unknown,GEO,Unknown,134.0,"35,783","35,790",8.3e-05,0.05,1436.1,,,,5/3/2018,15.0,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2018-041A,43450,"45 C-band, Ku-band and Ka-band transponders, Apstar 6C’s wider coverage zone will stretch from Siberia and India in the north and west, to Australia and Hawaii in the south and east.",JM/10_18,2018
Apstar 6D,NR (7/20),China,APT Satellite Holdings Ltd.,Commercial,Communications,Unknown,GEO,Unknown,134.0,"35,785","35,885",0.00118,0.01,1438.5,"5,550",,,7/9/2020,15.0,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2020-045A,45863,"Will use a conventional liquid-fueled engine to raise its orbit in the coming weeks, then rely on electric plasma thrusters to hold position in geostationary orbit during its planned 15-year mission.",ZARYA,2020
Apstar 7,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,Unknown,GEO,Unknown,76.5,"35,864","35,874",0.000118,0.03,1440.31,"5,054",,,3/31/2012,15.0,Thales Alenia Space,France/Italy,Xichang Satellite Launch Center,Long March 3B,2012-013A,38107,Replacement for Apstar 2R.,,2012
Apstar 9,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,Unknown,GEO,Unknown,142.0,"35,782","35,788",7.120000000000001e-05,0.12,1436.01,"5,200",,"10,500",10/16/2015,15.0,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-059A,40982,Replacement for Apstar 9A.,JM/12_15,2015
Arabsat 5C,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,Unknown,GEO,Unknown,19.99,"35,766","35,805",0.000463,0.06,1436.06,"4,630",,,9/21/2011,15.0,Astrium/Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2011-049B,37810,"26 active C-band transponders, 12 active Ka-band transponders",JM/1_12,2011
Arabsat 6A,NR (11/19),Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,Unknown,GEO,Unknown,30.5,"35,774","35,811",0.000439,0.01,"1,436.00","6,465",,"20,000",4/11/2019,15.0,Lockheed Martin,USA,Cape Canaveral,Falcon Heavy,2019-021A,44186,,JMSatcat/11_19,2019
Arabsat 7F,Canada,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,Unknown,GEO,Unknown,44.5,"35,778","35,794",0.00018999999999999998,0.01,1436.09,"3,600","1,700","8,600",5/20/1999,12.0,Lockheed Martin/Spar Aerospace,USA/Canada,Baikonur Cosmodrome,Proton D,1999-027A,25740,Television broadcast;  32 Ku-band.,JM/12_08,1999
Arkyd-6A,USA,USA,Planetary Resources,Commercial,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,493,505,0.0008730000000000001,97.5,94.5,10,,,1/11/2018,0.0,Planetary Resources,USA,Satish Dhawan Space Centre,PSLV,2018-004V,43130,,JMSatcat/5_18,2018
ARMADILLO,NR (11/19),USA,Satellite Design Laboratory UT Austin/Baylor University,Civil,Technology Development,Unknown,Elliptical,Unknown,0.0,305,851,0.0393,28.5,96.2,4,,,6/25/2019,0.0,UT Austin/Baylor University,USA,Cape Canaveral,Falcon Heavy,2019-036P,44352,See link,JMSatcat/11_19,2019
ArSat 1,Argentina,Argentina,ArSat,Commercial,Communications,Unknown,GEO,Unknown,-71.8,"35,778","35,795",0.000202,0.01,1436.07,"3,000",,,10/16/2014,15.0,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2014-062B,40272,"First geostationary communications satellite built in Argentina. It will support television broadcasts, data transmission and Internet access for customers in Argentina, Chile, Uruguay and Paraguay.",ZARYA,2014
ArSat 2,Argentina,Argentina,ArSat,Commercial,Communications,Unknown,GEO,Unknown,-81.0,"35,786","35,801",0.000178,0.01,1436.06,"2,977",,"4,600",9/30/2015,15.0,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2015-054B,40941,,JM/12_15,2015
AsiaSat-3S,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,Unknown,GEO,Unknown,105.55,"35,780","35,792",0.00014199999999999998,0.02,1436.07,"3,480","2,500","10,000",3/21/1999,15.0,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,1999-013A,25657,"28 C-band, 16 Ku-band; broadcasting, internet services, multimedia, telecommunications",JM/12_08,1999
AsiaSat-5,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,Unknown,GEO,Unknown,100.5,"35,778","35,795",0.000202,0.0,1436.11,"3,760",,,8/11/2009,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M,2009-042A,35696,"14 Ku-Band, 26 C-band, serving all of Asia.",JM/10/09,2009
AsiaSat-6,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,Unknown,GEO,Unknown,120.0,"35,783","35,793",0.00011899999999999999,0.07,1436.17,"3,700",,,9/7/2014,15.0,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2014-052A,40141,14 of the 28 C-band transponders will be operated by Thaicom as Thaicom 7.,ZARYA,2014
AsiaSat-7,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,Unknown,GEO,Unknown,105.5,"35,782","35,793",0.00013000000000000002,0.02,1436.17,"3,813",,,11/25/2011,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2011-069A,37933,"28 C-band, 17 Ku-band, and a Ka-band payload. Will replace AsiaSat-3S.",JM/1_12,2011
AsiaSat-8,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,Unknown,GEO,Unknown,105.5,"35,781","35,793",0.00014199999999999998,0.07,1436.1,"4,500",,"8,500",8/5/2014,15.0,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2014-046A,40107,24 Ku-band transponders.,ZARYA,2014
AsiaSat-9,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,Unknown,GEO,Unknown,122.0,"35,783","35,790",8.3e-05,0.02,1436.1,"6,140",,,9/28/2017,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,2017-057A,42942,"38 Ku-band, 28 C-band transponders. ",JM/3_18,2017
AsiaStar,USA,USA,1Worldspace,Commercial,Communications,Unknown,GEO,Unknown,104.97,"35,773","35,801",0.000332,0.02,1436.15,"2,775","1,530","5,600",3/21/2000,15.0,Alcatel Space Industries,France,Guiana Space Center,Ariane 5G,2000-016A,26107,"Africa, Middle East, Asia, Latin America and Caribbean. Services to underserved emerging markets; low-cost portable receivers.",JM/12_08,2000
ASNARO-1,Japan,Japan,Japan Space Systems,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,506,507,7.269999999999999e-05,97.48,94.75,500,,,11/6/2014,3.0,NEC Corporation,Japan,Dombarovsky Air Base,Dnepr,2014-070A,40298,Japanese optical high-resolution Earth imaging mission under development by the NEC Corporation and USEF (Institute for Unmanned Space Experiment Free Flyer).,ZARYA,2014
ASNARO-2,Japan,Japan,Japan Space Systems,Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0.0,493,505,0.0008730000000000001,97.3,94.5,570,,,1/17/2018,3.0,NEC Corporation,Japan,Uchinoura Space Center,Epsilon,2018-007A,43152,X-band radar.,JMSatcat/5_18,2018
Astra 1D,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,67.7,"35,776","35,795",0.000225,1.15,1436.08,"2,924","1,700","3,300",11/1/1994,15.0,Hughes Space and Communications Co.,USA,Guiana Space Center,Ariane 42P,1994-070A,23331,Primarily backup for Astra 1B and 1C; 18 Ku-band transponders; continental Europe.,JM/12_08,1994
Astra 1F,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,19.22,"35,778","35,797",0.000225,0.03,1436.15,"3,010","1,800","4,400",4/18/1996,15.0,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,1996-021A,23842,Direct tv broadcast to Europe; 16 Ku-band transponders; Europe.,JM/12_08,1996
Astra 1G,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,19.24,"35,780","35,791",0.00013000000000000002,0.04,1436.08,"3,379","3,010","6,600",12/2/1997,15.0,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,1997-076A,25071,Direct-to-home tv; multimedia; 32 Ku-band transponders; Europe,JM/12_08,1997
Astra 1KR,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,19.16,"35,766","35,807",0.00048600000000000005,0.08,1436.1,"4,332",,"12,000",4/20/2006,15.0,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2006-012A,29055,32 Ku-band transponders; direct-to-home broadcast services across Europe.,JM/12_08,2006
Astra 1L,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,19.3,"35,772","35,798",0.000308,0.05,1436.03,"4,500",,"13,000",5/4/2007,15.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2007-016A,31306,"29 Ku-band, 2 Ka-band transponders first five years; 25 Ku-band and 2 Ka-band thereafter.",JM/12_08,2007
Astra 1M,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,19.2,"35,804","35,852",0.0005690000000000001,0.14,1438.2,"5,345",,"9,900",11/5/2008,15.0,EADS Astrium,France,Baikonur Cosmodrome,Proton M,2008-057A,33436,Direct-to-home and HD television.,SC - ASCR 1/09,2008
Astra 1N,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,28.2,"35,715","35,780",0.000772,0.12,1434.1,"5,350",,,8/6/2011,15.0,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2011-041A,37775,Direct-to-home and HD television.,SC - ASCR 9/11,2011
Astra 2A,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,28.16,"35,776","35,797",0.00024900000000000004,0.08,1436.12,"3,635","2,500","7,000",8/30/1998,15.0,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,1998-050A,25462,"Voice and video communications to Europe; 32 Ku-band for first five years, 28 after.",JM/12_08,1998
Astra 2B,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,31.33,"35,772","35,801",0.000344,0.07,1436.11,"3,315","1,400","7,800",9/14/2000,14.0,Astrium,France/UK/Germany,Guiana Space Center,Ariane 5G,2000-054A,26494,"Direct-to-home; broadcasting, multimedia; 30 Ku-band for first five years, 28 after; UK and Ireland.",JM/12_08,2000
Astra 2C,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,28.21,"35,768","35,804",0.00042699999999999997,0.07,1436.12,"3,643","2,000","7,000",6/16/2001,15.0,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,2001-025A,26853,"Direct-to-home; broadcasting, multimedia; 32 transponders for first five years; 28 after, continental Europe",JM/12_08,2001
Astra 2D,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,28.14,"35,770","35,802",0.00037999999999999997,0.07,1436.1,"1,420",700,"1,500",12/19/2000,15.0,Hughes Space and Communications Co.,USA,Guiana Space Center,Ariane 5G,2000-081A,26638,"Direct-to-home; broadcasting, multimedia; 16 Ku-band; UK and Ireland.",JM/12_08,2000
Astra 2E,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,28.2,"35,781","35,793",0.00014199999999999998,0.11,1436.12,"6,052",,"13,000",9/29/2013,15.0,EADS Astrium,France,Baikonur Cosmodrome,Proton M,2013-056A,39285,"Broadcast, Vsat and broadband services to Europe.",SC - ASCR,2013
Astra 2F,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,28.2,"35,777","35,795",0.000213,0.06,1436.07,"6,000","2,660",,9/28/2012,15.0,EADS Astrium,France/UK/Germany,Guiana Space Center,Ariane 5 ECA,2012-051A,38778,"Prime position for SES - BBC, ITV, Channel 5.",SC - ASCR,2012
Astra 2G,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,28.2,"35,785","35,789",4.74e-05,0.09,1436.11,"6,000",,"13,000",12/27/2014,15.0,Airbus Defense and Space,Germany/France,Baikonur Cosmodrome,Proton M,2014-089A,40364,62 Ku-band transponders as well as 4 Ka-band transponders,ZARYA,2014
Astra 3A,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,23.48,"35,770","35,804",0.00040300000000000004,0.06,1436.07,"1,500",750,"1,500",3/29/2002,10.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2002-015B,27400,"20 transponders; provide follow-on capacity for the Kopernikus satellite of Deutsche Telekom AG, contracted for 10 transponders on spacecraft; German-speaking countries of Germany, Austria and Switzerland.",JM/12_08,2002
Astra 3B,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,23.5,"35,768","35,806",0.00045099999999999996,0.08,1436.11,"5,471",,"10,000",5/21/2010,15.0,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2010-021A,36581,"60 Ku-band, 4 Ka-band transponders. Serves German, Czech, Slovak market.",SC - ASCR,2010
