Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data,Launch Year
MetOp-C,EUMETSAT,Multinational,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0.0,825,829,0.000278,98.7,101.2,"4,084",,,11/6/2018,5.0,Airbus Defence and Space,France/UK/Germany/Spain,Guiana Space Center,Soyuz 2.1b,2018-087A,43689,Last of EUMETSAT's meteorological satellites in low-earth orbit.,JMSatcat/11_18,2018
MEV-1,NR (2/20),USA,Space Logistics LLC,Commercial,Mission Extension Technology,Unknown,GEO,Unknown,-27.5,"36,000","36,000",0.0,1.5,"1,450.10",,,,10/9/2019,0.0,Northrup Grumman Innovation Systems,USA,Baikonur Cosmodrome,Proton,2019-067B,44625,Will dock with the Intelsat 901 communications satellite and provide propulsion and attitude control functions to extend the spacecraft’s mission.,Estimated,2019
Mexsat-3,Mexico,Mexico,Mexico Telecomm,Government/Military,Communications,Unknown,GEO,Unknown,-114.9,"35,784","35,791",8.3e-05,0.07,1436.16,"2,900",,"3,500",12/19/2012,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Atlas 5 ECA,2012-075B,39035,Start of 3-satellite constellation.,SC - ASCR,2012
Mexsat-2,Mexico,Mexico,Mexico Telecomm,Government,Communications,Unknown,GEO,Unknown,-116.8,"35,767","35,805",0.00045099999999999996,7.12,"1,436","5,325",,,10/2/2015,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2015-056A,40946,,JM/12_15,2015
MicroDragon,NR (11/19),Vietnam,Vietnam National Space Center,Government,Earth Observation,Unknown,LEO,Sun-Synchronous,0.0,490,511,0.0015300000000000001,97.3,95,51,,,1/18/2019,0.0,Built by Vietnamese engineers studying in Japan.,Vietnam,Uchinoura Space Center,Epsilon,2019-003D,43935,"Will monitor the world’s oceans to examine fishing grounds and search for disasters such as oil spills; will also measure aerosols, microscopic particles suspended in Earth’s atmosphere.",JMSatcat/3_19,2019
MicroMAS-2A ,USA,USA,MIT/Lincoln Laboratory-University of Massachusetts Amherst,Civil/Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.0,493,505,0.0008730000000000001,97.5,95,4,,,1/11/2018,0.0,MIT/LL-UM Amherst,USA,Satish Dhawan Space Centre,PSLV,2018-004W,43131,"Foundation for a 12-satellite, three-plane constellation known as TROPICS-CubeSats deployed into 600-Kilometer orbits at a 30-degree inclination to deliver high-revisit coverage of the tropical regions",JMSatcat/5_18,2018
Microsat-TD,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,327,368,0.00305,97.2,91,120,,,1/11/2018,0.0,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2018-004T,43128,"Panchromatic, color and near-infrared imagery",JMSatcat/5_18,2018
MVL-300,Russia,Russia,Moscow State University,Civil/Government,Space Science,Unknown,LEO,Sun-Synchronous,0.0,469,487,0.00131,97.27,94,645,,,4/27/2016,3.0,Roscosmos,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026A,41464,Pinpoint the origin of mysterious brilliant flashes of light in the upper atmosphere called transient luminous events.,Space50,2016
USA 99,USA,USA,US Air Force,Military,Communications,Unknown,GEO,Unknown,-38.9,"35,754","35,819",0.000771,5.99,1436.13,"4,536",,"8,000",2/7/1994,10.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Titan 4A,1994-009A,22988,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",JM/12_08,1994
USA 157,USA,USA,US Air Force,Military,Communications,Unknown,GEO,Unknown,-67.9,"35,764","35,768",4.7499999999999996e-05,4.5,1435.04,"4,536",,"8,000",2/27/2001,12.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Titan 4B,2001-009A,26715,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",JMSatcat10_06,2001
USA 164,USA,USA,US Air Force,Military,Communications,Unknown,GEO,Unknown,3.92,"35,753","35,820",0.000795,3.45,1436.12,"4,536",,"8,000",1/16/2002,12.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Titan 4B,2002-001A,27168,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",JM/304,2002
USA 169,USA,USA,US Air Force,Military,Communications,Unknown,GEO,Unknown,-89.98,"35,768","35,806",0.00045099999999999996,0.82,1436.13,"4,536",,"8,000",4/8/2003,12.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Titan 4B,2003-012A,27711,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",JM/12_08,2003
MINXSS-2,NR (11/19),USA,"University of Colorado, Boulder",Government/Civil,Space Science,Unknown,LEO,Sun-Synchronous,0.0,573,589,0.00115,97.7,96.3,4,,,12/3/2018,5.0,Student-built,USA,Vandenberg AFB,Falcon 9,2018-099A,43758,Student built. Study solar flare soft x-ray (SXR) emissions and other space science.,JMSatcat/3_19,2018
